Sample,OSM_Feature,Distance,Initial_recorded_Latitude,Initial_recorded_Longitude,Final_recorded_Latitude,Final_recorded_Longitude,TimeStamp_Begin,TimeStamp_End,TimeStart,TimeFinish,Energy_at_Begining,Energy_at_Final,TimeNeeded_in_Seconds,Primary,Primary_link,Secondary,Secondary_link,Tertiary,Tertiary_link,Trunk,Motorway,Motorway_link,Service,Residential,Track,Unknown,Unclassified,Energy_Consumed
77,51065734,996.8139661811116,35.02407455444336,-85.29679870605469,35.020469665527344,-85.28679656982422,1572599453000.0,1572599522000.0,2019-11-01 04:10:53:000,2019-11-01 04:12:02:000,93.66772008230451,93.36100988683128,69,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.3067101954732294
78,139746608,14.328068066218467,35.020469665527344,-85.28679656982422,35.02042007446289,-85.28665161132812,1572599522000.0,1572599523000.0,2019-11-01 04:12:02:000,2019-11-01 04:12:03:000,93.36100988683128,93.35440402263374,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.006605864197538836
79,139746608,271.51215720700367,35.02042007446289,-85.28665161132812,35.01946258544922,-85.28392028808594,1572599523000.0,1572599542000.0,2019-11-01 04:12:03:000,2019-11-01 04:12:22:000,93.35440402263374,93.26596986625515,19,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.08843415637859664
80,139746604,14.328217491463642,35.01946258544922,-85.28392028808594,35.01941299438477,-85.28377532958984,1572599542000.0,1572599543000.0,2019-11-01 04:12:22:000,2019-11-01 04:12:23:000,93.26596986625515,93.26124239711935,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.004727469135801243
81,139746604,399.0743790011905,35.01941299438477,-85.28377532958984,35.01788330078125,-85.27982330322266,1572599543000.0,1572599604000.0,2019-11-01 04:12:23:000,2019-11-01 04:13:24:000,93.26124239711935,93.15318693415638,61,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.10805546296296598
82,19515373,3.0431768047291867,35.01788330078125,-85.27982330322266,35.01785659790039,-85.27981567382812,1572599604000.0,1572599605000.0,2019-11-01 04:13:24:000,2019-11-01 04:13:25:000,93.15318693415638,93.14907829218107,1,0.5,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.004108641975307137
83,19515373,1894.7693541379192,35.01785659790039,-85.27981567382812,35.00218963623047,-85.28800964355469,1572599605000.0,1572599866000.0,2019-11-01 04:13:25:000,2019-11-01 04:17:46:000,93.14907829218107,92.39181116255143,261,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.7572671296296392
84,19498564,5.545570043605528,35.00218963623047,-85.28800964355469,35.002140045166016,-85.28800201416016,1572599866000.0,1572599867000.0,2019-11-01 04:17:46:000,2019-11-01 04:17:47:000,92.39181116255143,92.38421544238683,1,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.00759572016460197
85,19498564,103.62481673667608,35.002140045166016,-85.28800201416016,35.001766204833984,-85.2869873046875,1572599867000.0,1572599889000.0,2019-11-01 04:17:47:000,2019-11-01 04:18:09:000,92.38421544238683,92.34348844650205,22,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.040726995884782013
86,129900068,2.8961875056049986,35.001766204833984,-85.2869873046875,35.00174331665039,-85.28697204589844,1572599889000.0,1572599890000.0,2019-11-01 04:18:09:000,2019-11-01 04:18:10:000,92.34348844650205,92.33680654320987,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.006681903292175662
87,129900068,161.24094990012466,35.00174331665039,-85.28697204589844,35.00040690104167,-85.28766632080078,1572599890000.0,1572599919000.0,2019-11-01 04:18:10:000,2019-11-01 04:18:39:000,92.33680654320987,92.28220336419753,29,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.05460317901234647
88,136758343,0.14106824524518422,35.00040690104167,-85.28766632080078,35.000405629475914,-85.28766632080078,1572599919000.0,1572599920000.0,2019-11-01 04:18:39:000,2019-11-01 04:18:40:000,92.28220336419753,92.28093422839508,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0012691358024454755
89,136758343,317.7314713902847,35.000405629475914,-85.28766632080078,35.00150680541992,-85.29087829589844,1572599920000.0,1572599963000.0,2019-11-01 04:18:40:000,2019-11-01 04:19:23:000,92.28093422839508,92.06808350823046,43,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.2128507201646244
90,19499250,9.896306843413594,35.00150680541992,-85.29087829589844,35.001522064208984,-85.29098510742188,1572599963000.0,1572599964000.0,2019-11-01 04:19:23:000,2019-11-01 04:19:24:000,92.06808350823046,92.06437718106994,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0037063271605148884
91,19499250,99.95091955019173,35.001522064208984,-85.29098510742188,35.001354217529304,-85.29206085205078,1572599964000.0,1572599985000.0,2019-11-01 04:19:24:000,2019-11-01 04:19:45:000,92.06437718106994,92.10135435185184,21,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-0.03697717078189555
92,51822286,5.314646628832282,35.001354217529304,-85.29206085205078,35.00133514404297,-85.2921142578125,1572599985000.0,1572599986000.0,2019-11-01 04:19:45:000,2019-11-01 04:19:46:000,92.10135435185184,92.09509130658437,1,0.0,0.0,0.5,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.006263045267473899
93,51822286,1544.9312423597196,35.00133514404297,-85.2921142578125,34.98775863647461,-85.28874969482422,1572599986000.0,1572600127000.0,2019-11-01 04:19:46:000,2019-11-01 04:22:07:000,92.09509130658437,91.5998074691358,141,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.49528383744856797
94,19505835,5.102769966352659,34.98775863647461,-85.28874969482422,34.987716674804695,-85.28872680664062,1572600127000.0,1572600128000.0,2019-11-01 04:22:07:000,2019-11-01 04:22:08:000,91.5998074691358,91.6014000617284,1,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.5,0,0,0.0,-0.0015925925926012494
95,19505835,332.89836182137026,34.987716674804695,-85.28872680664062,34.98482131958008,-85.28814697265625,1572600128000.0,1572600707000.0,2019-11-01 04:22:08:000,2019-11-01 04:31:47:000,91.6014000617284,90.74380546296301,579,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.8575945987653881
